id,priority,priorityRationale,activityType,frequencyCount,frequencyPeriod,details,facilitatorType,facilitatorRole,facilitatorResourceId,location,remoteCapable,prep,backups,skipAdjustment,metrics
act-102,2,"Comprehensive blood panels track apoB, glycemic and inflammatory markers that are the strongest modifiable predictors of cardiometabolic risk, so frequent quantification is critical.",consultation,4,year,"Quarterly venous draw for advanced lipids, glycemic, hepatic, renal, thyroid, hormonal and inflammatory panels; phlebotomist collects and physician orders interpretation.",specialist,longevity physician,sp-01,Elyx clinic,false,Fasting 12h before bloods; withhold biotin 72h prior and avoid intense exercise 24h before.,home phlebotomy visit,"If skipped, prioritize a fasting lipid and HbA1c recheck within 4 weeks and flag any previously elevated apoB for the physician.",apoB|ldl_c|hba1c|fasting_insulin|hs_crp|alt
act-004,3,"Regular moderate aerobic exercise improves insulin sensitivity and endothelial function, lowering long-term cardiometabolic risk.",fitness,2,week,"Steady-state indoor cycling, 40 min at HR 65-75% max with 3x2-min tempo surges; cadence 85-95 rpm.",self,,,Elyx gym,false,Set bike resistance profile; fit HR strap; hydrate.,act-005|act-001,Substitute a 40-min outdoor brisk walk if bike unavailable.,avg_hr|max_hr|duration_min|distance_km|zone2_min
act-005,3,"Low-impact rowing builds aerobic capacity while sparing joints, supporting sustainable conditioning volume into later decades.",fitness,2,week,"Rowing intervals: 5x500m at moderate-hard effort (HR 75-85% max), 90 sec rest; target split consistency within 3 sec.",self,,,Elyx gym,false,Calibrate damper setting 4-5; 8-min warm-up row; HR strap on.,act-004|act-001,Add 15 min to next Zone-2 session to recover lost aerobic minutes.,avg_hr|max_hr|duration_min|distance_km
act-023,3,"Ballistic kettlebell training improves power output and grip, which independently predict longevity and functional independence.",fitness,3,week,"Two-handed kettlebell swing: 5 sets x 15 reps at 16-24 kg, explosive hip snap to chest height, 60 sec rest between sets.",self,,,home,false,Clear 2m of floor space; set kettlebell on a non-slip surface.,act-021|Resistance-band good mornings,Add one extra set to the next swing session.,sets|reps|load_kg
act-028,3,"Thoracic extension and scapular retraction counteract desk-induced kyphosis, protecting against chronic neck and shoulder pain.",fitness,4,week,"Banded face pulls 3 x 15 and band pull-aparts 3 x 20 with 2 sec squeeze; thoracic extensions over support 2 x 10, target ~30 deg extension.",alliedHealth,physiotherapist,,home,true,Anchor resistance band at chest height.,act-035|Wall angels,Perform band pull-aparts during work breaks the same day.,sets|reps|rom_deg
act-029,3,"Single-leg balance training reduces fall risk, a leading preventable cause of injury and lost independence with age.",fitness,3,week,"Single-leg stance: 3 x 30 sec per leg eyes open, progress to eyes closed; add tandem-stance walk 2 x 10 steps.",self,,,home,true,Stand near a wall or chair for safety support.,act-036|Balance-pad single-leg holds,Practice balance holds while brushing teeth as a fallback.,sets|balance_sec
act-042,3,Mediterranean-pattern eating is associated with lower cardiovascular and all-cause mortality in long-term cohorts.,food,5,week,"Mediterranean dinners: build dinners around olive oil, legumes, whole grains, vegetables, and modest poultry/fish; limit red meat to once weekly.",alliedHealth,dietitian,,home,true,groceries delivered,act-044,Choose a Mediterranean option at the next restaurant meal.,meal_logged|fiber_g|calories
act-048,3,"Maintaining euhydration supports cardiovascular load, cognition, and renal function across the day.",food,1,day,"Hydration: drink ~2,500 ml water daily, front-loading 500 ml on waking and sipping consistently; more on training days.",self,,,home,false,,,Add an extra 500 ml with electrolytes the following morning.,hydration_ml
act-052,3,"Reducing added sugar lowers visceral fat and improves glycemic variability, key metabolic-aging markers.",food,1,day,Limit added sugar: keep under 25 g/day; eliminate sugary drinks and replace desserts with fruit or dark chocolate (>85%).,self,,,home,false,,,Offset an indulgence with a sugar-free day and a post-meal walk.,calories|meal_logged
act-068,3,Low-dose aspirin supports secondary cardiovascular prevention in this elevated-risk profile under physician oversight.,medication,1,day,"Aspirin 81 mg enteric-coated, one tablet daily with food to limit gastric irritation; take at a consistent time.",self,,,home,false,Take with food to reduce gastric irritation.,,take when remembered same day; never double-dose,adherence_logged|dose_mg
act-103,3,"Cardiovascular disease remains the leading cause of mortality, so a specialist cardiac assessment with imaging-based risk stratification is a high-priority diagnostic.",consultation,1,year,"Cardiology consult with resting and exertional exam, 12-lead ECG, blood pressure profiling and review of coronary calcium scoring to refine atherosclerotic risk.",specialist,cardiologist,,Elyx clinic,false,Bring current lipid results; avoid caffeine 4h before to keep resting heart rate and blood pressure representative.,,"If skipped, defer up to one quarter but maintain blood-pressure logging and escalate immediately if any chest symptoms arise.",blood_pressure|resting_hr|ecg|coronary_calcium_score|ldl_c
act-104,3,"Endocrine and metabolic dysregulation drives insulin resistance and hormonal decline with age, making a specialist metabolic review essential for early, targeted correction.",consultation,2,year,"Endocrinology/metabolic review of glycemic control, insulin sensitivity, thyroid and sex-hormone status; titrate any hormonal or metabolic therapies.",specialist,endocrinologist,,Elyx clinic,true,Ensure fasting metabolic and hormonal labs are completed within the prior week.,video call review,"If skipped, continue current dosing unchanged and rebook within 6 weeks; flag fasting insulin or HbA1c if trending upward.",hba1c|fasting_insulin|tsh|testosterone|vitamin_d
act-114,3,In-person coached power session requires a trainer plus the barbell rack on-site; contention here demonstrates role-based provider substitution.,fitness,3,week,"Trainer-coached barbell power session: cleans and jumps, 5x3 explosive reps.",alliedHealth,personal trainer,,Elyx gym,false,Full warm-up; trainer briefed on loads.,act-023|act-024,"If no trainer/rack, self-perform kettlebell power work (act-023).",sets|reps|load_kg
act-006,4,Daily step volume independently lowers mortality risk and anchors non-exercise activity thermogenesis between structured sessions.,fitness,1,day,"Brisk outdoor walk, 30-40 min at 100-120 steps/min, HR 50-60% max; prioritise post-meal timing for glucose control.",self,,,outdoor,false,Check weather; supportive footwear; phone/watch step tracking on.,treadmill walk via eq-01|act-004,Accumulate steps via two 15-min walks later in day.,avg_hr|duration_min|distance_km
act-007,4,"Swimming delivers full-body aerobic conditioning with minimal joint load, complementing land-based cardio for balanced training stress.",fitness,1,week,"Continuous freestyle swim, 30 min easy-moderate effort with 4x50m tempo pickups; focus on bilateral breathing.",self,,,outdoor,false,Confirm pool access; goggles and cap; light pre-swim snack.,act-005|act-004,Replace with a 30-min Zone-2 row in the next open slot.,duration_min|distance_km|avg_hr
act-024,4,Home dumbbell training maintains training continuity during travel and preserves leg strength between gym sessions.,fitness,2,week,"Dumbbell goblet squat: 3 sets x 10 reps at 20-30 kg, then Romanian deadlift 3 sets x 10 reps; controlled tempo, 90 sec rest.",self,,,home,false,Adjust dumbbell load before starting.,act-021|act-023,Fold into next gym lower-body session as extra accessory work.,sets|reps|load_kg
act-025,4,"Grip strength is a robust biomarker of biological aging and cardiovascular risk, warranting dedicated maintenance.",fitness,2,week,"Dead hangs from bar: 4 sets x max-effort hold (target 45-60 sec), plus farmer carries 3 x 30 m at 24-32 kg per hand.",self,,,Elyx gym,false,Chalk hands; confirm pull-up bar height.,Towel hangs at home|Resistance-band grip squeezes,Substitute with kettlebell holds during act-023 session.,sets|hold_sec|load_kg
act-027,4,Targeted hip mobility addresses sitting-related stiffness that limits squat depth and elevates lower-back injury risk.,fitness,3,week,"90/90 hip rotations 2 x 10 per side, deep lunge with rotation hold 3 x 30 sec per side; progress range toward 110 deg flexion.",alliedHealth,physiotherapist,,home,true,Mat down; warm muscles with light walking first.,act-026|act-037,Add hip openers to next yoga session (act-026).,sets|hold_sec|rom_deg
act-033,4,Isometric core endurance stabilizes the spine and underpins safe loading in squats and deadlifts.,fitness,3,week,"Front plank 3 x 45-60 sec, side plank 3 x 30 sec per side, dead bug 3 x 10 per side; maintain neutral spine and braced abs.",self,,,home,true,Lay out mat.,act-028|Pallof press with band,Add planks as a finisher to the next strength session.,sets|hold_sec
act-034,4,Overhead pressing maintains shoulder strength and stability needed for daily overhead reaching and lifting independence.,fitness,2,week,"Standing dumbbell overhead press: 4 sets x 8 reps at 15-22.5 kg per hand, full lockout, controlled 2 sec lowering, 90 sec rest.",alliedHealth,personal trainer,,home,true,Set dumbbell load; ensure overhead clearance.,act-035|Band overhead press,Reduce to 3 sets next session if shoulder fatigue persists.,sets|reps|load_kg
act-035,4,Horizontal pulling strengthens the mid-back to balance pressing volume and reinforce upright posture.,fitness,2,week,"Banded seated row: 4 sets x 12 reps with 2 sec squeeze at end range; retract scapulae fully, control return over 3 sec.",self,,,home,true,Anchor band securely at waist height.,act-028|Dumbbell bent-over row,Pair with next overhead press session (act-034).,sets|reps
act-044,4,"Leafy greens deliver nitrates, folate, and lutein linked to better vascular and cognitive function.",food,1,day,"Leafy greens: eat at least 1 cup cooked or 2 cups raw leafy greens (spinach, kale, rocket) daily, dressed with olive oil for fat-soluble absorption.",self,,,home,false,groceries delivered,act-046,Add a greens-based side salad to the next meal out.,fiber_g|meal_logged
act-049,4,A 16:8 time-restricted eating window can improve insulin sensitivity and support body-composition goals.,food,5,week,"Time-restricted eating: confine all eating to an 8-hour window (12:00-20:00); only water, black coffee, or tea outside it.",alliedHealth,dietitian,,home,true,,,Shorten the next day's window to 6 hours if a feeding window is missed.,fasting_hours|meal_logged
act-057,4,Plant protein from legumes lowers saturated fat intake while adding fiber and supporting protein targets.,food,4,week,"Plant protein: include a 150 g serving of legumes (lentils, chickpeas, black beans) in lunch or dinner.",alliedHealth,dietitian,,home,true,meal pre-cooked,act-041,Add a legume side or hummus snack to recover weekly servings.,protein_g|fiber_g|meal_logged
act-086,4,"Deep-tissue sports massage reduces delayed-onset muscle soreness and improves range of motion, directly supporting training continuity and injury prevention.",therapy,1,week,"60-minute deep-tissue massage focused on lower back, hips, and quadriceps; communicate pressure preference and any flagged areas.",alliedHealth,massage therapist,,Elyx clinic,false,Avoid heavy meals 2 hours prior; note any sore or injured regions for the therapist.,act-089|act-087,Self-administer percussive therapy on the same muscle groups at home for 15 minutes.,duration_min|perceived_recovery
act-094,4,"Targeted physiotherapy-guided soft-tissue recovery addresses recurring movement restrictions, reducing injury risk that would otherwise derail training continuity.",therapy,1,week,45-minute physiotherapist-led soft-tissue release and mobility session targeting flagged areas; follow prescribed at-home drills afterward.,alliedHealth,physiotherapist,,Elyx clinic,false,Bring notes on any pain or stiffness from the past week.,act-086,Complete prescribed mobility drills at home and report symptoms remotely.,duration_min|perceived_recovery
act-105,4,"Undiagnosed sleep-disordered breathing independently raises cardiometabolic and neurocognitive risk, so an objective sleep study is a valuable baseline diagnostic.",consultation,1,year,"Attended or home polysomnography supervised by a sleep physician to quantify apnea-hypopnea index, oxygen desaturation and sleep architecture.",specialist,sleep physician,,Elyx clinic,false,No alcohol or caffeine on the test day and avoid daytime napping before the study.,home sleep apnea test,"If skipped, deploy a validated home sleep screener and reschedule the full study within the quarter.",ahi|sleep_efficiency|spo2_nadir|rem_pct
act-201,4,"Consolidating the morning supplement stack into one routine reflects how the member actually takes them — one organizer, once.",medication,1,day,"Morning supplement stack: vitamin D3, vitamin K2, omega-3, CoQ10, creatine, B12, zinc (with breakfast).",self,,,home,false,Pre-fill the AM compartment of the pill organizer.,,Take with the next meal the same day; never double-dose.,adherence_logged
act-008,5,Trainer-coached HIIT improves anaerobic capacity and metabolic flexibility while ensuring intensity and form are correctly dosed.,fitness,1,week,30-min HIIT circuit: 8 rounds of 30 sec near-max effort / 90 sec recovery alternating bike and row; peak HR 85-90% max.,alliedHealth,personal trainer,,Elyx gym,true,Trainer reviews session plan; thorough 10-min warm-up; HR strap fitted.,act-002|act-014,Swap for a moderate Zone-2 session to maintain weekly load without overreaching.,avg_hr|max_hr|duration_min|vo2max
act-009,5,"Hill sprints build leg power and cardiovascular ceiling efficiently, preserving fast-twitch capacity that declines with age.",fitness,1,week,6-8 outdoor hill sprints of 20-30 sec at maximal effort with full walk-down recovery; 12-min warm-up beforehand.,self,,,outdoor,false,Scout safe hill gradient; dynamic warm-up; HR strap on.,act-002|treadmill incline sprints via eq-01,Substitute treadmill incline sprints if no suitable hill or weather blocks outdoor work.,max_hr|avg_hr|duration_min
act-026,5,"Guided yoga improves whole-body flexibility and parasympathetic tone, supporting recovery and joint health.",fitness,2,week,"60-min vinyasa flow with deep hip openers and spinal twists; hold each terminal stretch 30-45 sec, breathing through full range.",alliedHealth,yoga instructor,,home,true,Roll out mat in a quiet space; set up video call if remote.,act-032|Self-guided mobility flow,Replace with 20-min self-led stretching the same day.,hold_sec|rom_deg
act-032,5,Maintaining hamstring and calf length preserves gait quality and reduces compensatory low-back strain.,fitness,4,week,Static hamstring stretch 3 x 45 sec per side and standing calf stretch 3 x 45 sec per side; ease toward 90 deg straight-leg raise.,self,,,home,true,Light 5-min walk to warm tissues before stretching.,act-026|act-027,Fold into the cooldown of the next training session.,sets|hold_sec|rom_deg
act-036,5,"Tai-chi-style slow movement combines balance, proprioception, and mobility, shown to lower fall incidence in older adults.",fitness,2,week,"30-min guided slow-flow sequence with weight-shifting stances; hold each transition 3-5 sec, controlled single-leg loading.",alliedHealth,yoga instructor,,home,true,Clear floor space; set up video session if remote.,act-029|act-026,Replace with 15-min balance drills (act-029).,balance_sec|hold_sec
act-037,5,Ankle dorsiflexion mobility is essential for safe squat mechanics and reduces compensatory knee and balance deficits.,fitness,3,week,"Knee-to-wall ankle mobilizations 3 x 10 per side, calf-raise eccentrics 3 x 12; progress toward 12-15 cm knee-to-wall distance.",alliedHealth,physiotherapist,,home,true,Mark a wall reference distance with tape.,act-027|Banded ankle distractions,Add ankle drills to the warm-up of act-021.,sets|reps|rom_deg
act-039,5,"Loaded carries develop integrated trunk stability, grip, and gait strength that transfer directly to daily function.",fitness,1,week,"Kettlebell suitcase carry: 4 rounds x 40 m per side at 20-28 kg, tall posture and braced core, rest 90 sec between rounds.",alliedHealth,personal trainer,,home,false,Measure a clear ~40 m walking path.,act-025|Dumbbell farmer carry,Substitute farmer carries during act-025 grip session.,sets|load_kg
act-045,5,Polyphenol-rich berries provide antioxidants associated with reduced oxidative stress and slower cognitive decline.,food,5,week,"Berries: eat 1 cup mixed berries (blueberries, blackberries) as a breakfast topping or snack for polyphenol intake.",self,,,home,false,groceries delivered,,Swap in dark cherries or pomegranate to keep polyphenol intake up.,fiber_g|meal_logged
act-046,5,"Daily fiber near 30 g improves glycemic control, lipid profile, and gut-microbiome diversity.",food,1,day,"Fiber target: reach 30 g+ dietary fiber daily via legumes, whole grains, vegetables, and nuts spread across meals.",self,,,home,true,meal pre-cooked,act-044,Add a tablespoon of ground flax or chia to close the fiber gap.,fiber_g|calories|meal_logged
act-054,5,Extra-virgin olive oil polyphenols support endothelial function and favorable lipid profiles.,food,1,day,Olive oil: use 2-3 tbsp extra-virgin olive oil daily as the primary fat for dressings and finishing cooked dishes.,self,,,home,false,groceries delivered,,Add olive oil to the next day's meals to maintain monounsaturated fat intake.,calories|meal_logged
act-062,5,Tracking meals improves dietary adherence and gives the care team objective data for adjustments.,food,3,day,"Meal photo-log: photograph each main meal with portion estimates in the Elyx app to capture protein, fiber, and calorie trends.",self,,,home,true,,,Reconstruct the day's intake from memory in the evening review.,meal_logged|calories|protein_g
act-073,5,"Berberine improves insulin sensitivity and lipid profile, complementing metformin for metabolic control under endocrine oversight.",medication,2,day,"Berberine 500 mg, one capsule twice daily with breakfast and dinner to blunt post-meal glucose excursions.",self,,,home,false,Take with meals to reduce GI upset and target postprandial glucose.,,take with next meal same day; never double-dose,adherence_logged|dose_mg
act-083,5,"Regular infrared sauna use is associated with improved cardiovascular function and reduced all-cause mortality in longitudinal cohort studies, making it a high-value recovery modality.",therapy,3,week,Infrared sauna at 55-60C for 20 minutes; hydrate with 500ml water beforehand and cool down for 10 minutes after.,self,,,Elyx clinic,false,Hydrate beforehand; bring towel and water bottle.,act-088,Substitute a warm shower and light stretching at home; resume next scheduled session.,duration_min|temp_c|hrv
act-085,5,Contrast therapy alternating heat and cold may enhance peripheral circulation and accelerate subjective recovery after demanding training weeks.,therapy,2,week,"Alternate 4 minutes sauna at 55C with 1 minute ice bath at 11C; repeat for 3 cycles, finishing on cold.",self,,,Elyx clinic,false,Hydrate and schedule on a non-strength-priority day.,act-083|act-084,"Perform a single 15-minute sauna session if available, otherwise defer to next week.",duration_min|temp_c|hrv|perceived_recovery
act-089,5,Therapeutic lymphatic and recovery-focused massage can ease fluid retention and promote parasympathetic recovery after long-haul travel common to the member.,therapy,1,month,75-minute lymphatic-focused recovery massage with light-to-moderate pressure; emphasize legs and lower back after travel.,alliedHealth,massage therapist,,Elyx clinic,false,Hydrate well in the hours before the session.,act-086|act-088,Elevate legs and self-massage with the massage gun on a low setting at home.,duration_min|perceived_recovery
act-093,5,A post-workout sauna session may amplify heat-adaptation benefits and aid muscle relaxation when timed after endurance training.,therapy,2,week,Post-endurance infrared sauna at 50-55C for 15 minutes; only after rehydration and a 10-minute cooldown from exercise.,self,,,Elyx clinic,false,Rehydrate and check that heart rate has returned near resting before entering.,act-083,Take a warm shower and perform light mobility work instead.,duration_min|temp_c|hrv
act-098,5,A monthly extended recovery massage allows the therapist to address cumulative tension patterns that shorter sessions cannot fully resolve.,therapy,1,month,90-minute full-body sports recovery massage integrating deep-tissue and stretching techniques; pressure adjusted to tolerance.,alliedHealth,massage therapist,,Elyx clinic,false,Hydrate and avoid intense training in the 12 hours prior.,act-086|act-089,Book two shorter 45-minute sessions across the month instead.,duration_min|perceived_recovery
act-106,5,"DEXA quantifies visceral fat, lean mass and bone density with precision, providing objective targets for nutrition and resistance-training adjustments.",consultation,2,year,"DEXA body composition scan to measure regional fat, visceral adipose tissue, appendicular lean mass and bone mineral density, supervised by sports medicine.",specialist,sports medicine physician,,Elyx clinic,false,Avoid calcium supplements 24h before; wear metal-free clothing and arrive normally hydrated.,bioelectrical impedance analysis,"If skipped, use interim BIA and circumference measures and rebook DEXA within the next quarter.",body_fat_pct|lean_mass|bone_density|visceral_fat
act-107,5,"VO2max is one of the strongest predictors of all-cause mortality, so periodic maximal testing benchmarks cardiorespiratory fitness and guides training intensity.",consultation,2,year,"Graded maximal cardiopulmonary exercise test with gas exchange to determine VO2max, ventilatory thresholds and heart-rate training zones.",specialist,sports medicine physician,,Elyx clinic,false,Avoid caffeine and heavy exercise 24h before; wear athletic clothing and supportive footwear.,submaximal estimated VO2max test,"If skipped, estimate fitness from a submaximal step test and defer the maximal test to the next quarter.",vo2max|anaerobic_threshold|max_hr|rer
act-112,5,"Reviewing continuous glucose data reveals postprandial excursions and variability that fasting labs miss, enabling precise dietary and metabolic fine-tuning.",consultation,1,month,"Endocrinologist review of continuous glucose monitor data to assess time-in-range, variability and meal responses; refine nutrition and metabolic therapy accordingly.",specialist,endocrinologist,sp-03,video call,true,Wear a continuous glucose monitor for the 14 days prior and log meals alongside readings.,dietitian-led CGM review,"If skipped, continue current nutrition plan and flag any sustained glucose excursions for the next physician review.",time_in_range|glucose_variability|mean_glucose|hba1c
act-202,5,An evening supplement stack groups the wind-down compounds into a single before-bed routine.,medication,1,day,"Evening supplement stack: magnesium glycinate, glycine, ashwagandha, curcumin, psyllium (with dinner / before bed).",self,,,home,false,Pre-fill the PM compartment of the pill organizer.,,Skip for the night if missed before sleep; never double-dose.,adherence_logged
act-010,6,"A long steady aerobic effort extends mitochondrial density and fat-oxidation capacity, reinforcing the endurance base.",fitness,1,week,"Long Zone-2 session, 60-75 min at HR 60-70% max on bike or treadmill; keep nasal-breathing-capable pace.",self,,,Elyx gym,false,Fuel with light carbs; fill water bottle; HR strap fitted.,act-007|act-006,Split into two 35-min Zone-2 sessions across the week.,avg_hr|max_hr|duration_min|distance_km|zone2_min
act-011,6,Monthly conditioning review with a trainer keeps progressive overload on track and adjusts zones to avoid plateau or overtraining.,fitness,1,month,"45-min coached conditioning review: re-test submaximal HR at fixed workload, recalibrate zones, set next month's progression.",alliedHealth,personal trainer,,Elyx gym,true,Export last month's session metrics for trainer review; HR strap on.,self-review of metrics dashboard,Carry forward current zones and review at next scheduled check-in.,avg_hr|max_hr|vo2max|duration_min
act-030,6,The 20-20-20 rule reduces digital eye strain and accommodative fatigue from prolonged near-work screen exposure.,fitness,8,day,"Eye breaks: every 20 min of screen work, look at an object ~20 feet away for 20 sec; relax focus and blink fully 5-10 times.",self,,,home,true,,act-031|Timed screen-break reminders,Take one extended 2-min distance-gaze break at end of work block.,hold_sec
act-038,6,"Isometric wall sits build quadriceps endurance with minimal joint load, useful as a low-impact strength maintainer.",fitness,2,week,"Wall sit at ~90 deg knee flexion: 4 sets x 45-60 sec hold, 60 sec rest; keep shins vertical and back flat against wall.",self,,,home,true,"Find a clear, flat wall section.",act-024|Bodyweight squats,Add as a finisher to the next lower-body session.,sets|hold_sec|rom_deg
act-047,6,Fermented foods introduce live cultures that support gut-microbiome diversity and lower inflammatory markers.,food,1,day,"Fermented food: one serving daily — 150 g plain kefir, kimchi, sauerkraut, or natto for live cultures.",self,,,home,false,groceries delivered,,Have a kombucha or yogurt with live cultures the next day.,meal_logged
act-051,6,Post-exercise protein within the recovery window maximizes muscle protein synthesis and adaptation.,food,3,week,"Post-workout fuel: within 60 min consume 30-40 g protein plus ~40 g carbs (whey shake with fruit, or chicken with rice).",self,,,home,false,meal pre-cooked,act-041,Add the missed protein to the next main meal.,protein_g|calories|meal_logged
act-053,6,"Minimizing ultra-processed foods reduces sodium, additives, and energy density linked to higher mortality risk.",food,1,week,"Limit ultra-processed: audit the week's intake and cap ultra-processed items at 2 servings; favor whole, single-ingredient foods.",alliedHealth,nutritionist,,home,true,groceries delivered,,Carry over the unmet target and tighten next week's grocery list.,meal_logged|calories
act-055,6,A daily handful of nuts provides healthy fats and is associated with reduced cardiovascular events.,food,1,day,"Mixed nuts: eat a 30 g portion of unsalted walnuts, almonds, or pistachios as a snack or salad topper.",self,,,home,false,groceries delivered,act-045,Have the nut portion the following day or add to breakfast.,calories|protein_g|meal_logged
act-058,6,A balanced restaurant strategy keeps social meals aligned with Mediterranean and protein goals.,food,2,week,"Dining out: order grilled fish or lean protein with vegetables, dressings on the side, and skip bread baskets.",self,,,restaurant,false,,act-042,Log the meal and rebalance the next home dinner toward greens and lean protein.,protein_g|calories|meal_logged
act-084,6,"Cold water immersion blunts post-exercise inflammation and perceived soreness, supporting faster recovery between high-intensity training blocks.",therapy,3,week,"Ice bath at 10-12C for 3-5 minutes; enter gradually, control breathing, and rewarm passively afterward without a hot shower.",self,,,Elyx clinic,false,Avoid immersion immediately after strength sessions where hypertrophy is the goal.,act-090,Apply a cold compress to fatigued muscle groups for 10 minutes at home.,duration_min|temp_c|perceived_recovery
act-091,6,"Slow-paced breathwork lowers sympathetic tone and can raise heart-rate variability, an evidence-linked marker of improved recovery and stress resilience.",therapy,1,day,"10-minute box-breathing or extended-exhale protocol (4-second inhale, 6-second exhale) seated or lying down in a quiet space.",self,,,home,true,,act-092,Take 5 slow diaphragmatic breaths before sleep to partially capture the benefit.,duration_min|hrv
